iter	Passed	Remaining
0	1	188
1	2	132
2	3	110
3	3	95
4	4	92
5	5	91
6	6	88
7	7	85
8	8	84
9	9	82
10	9	80
11	10	78
12	11	76
13	12	74
14	12	73
15	13	71
16	14	71
17	15	71
18	16	70
19	17	69
20	18	68
21	18	66
22	19	65
23	20	64
24	21	63
25	21	61
26	22	60
27	23	59
28	23	58
29	24	57
30	25	56
31	26	55
32	27	55
33	28	54
34	28	53
35	31	56
36	32	55
37	34	55
38	40	64
39	49	73
40	50	72
41	51	71
42	52	70
43	53	68
44	54	66
45	55	65
46	56	63
47	56	61
48	57	59
49	58	58
50	59	56
51	59	55
52	60	53
53	61	52
54	62	51
55	63	50
56	64	48
57	65	47
58	66	46
59	66	44
60	67	43
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	29
72	77	28
73	78	27
74	79	26
75	80	25
76	80	24
77	81	23
78	82	21
79	82	20
80	83	19
81	84	18
82	85	17
83	85	16
84	86	15
85	87	14
86	88	13
87	88	12
88	89	11
89	90	10
90	91	9
91	91	7
92	92	6
93	93	5
94	93	4
95	94	3
96	95	2
97	96	1
98	96	0
99	97	0
