iter	Passed	Remaining
0	135	135675
1	139	69578
2	142	47437
3	146	36360
4	150	29883
5	153	25459
6	156	22219
7	160	19849
8	164	18085
9	167	16582
10	170	15329
11	173	14296
12	177	13491
13	180	12741
14	183	12079
15	187	11513
16	191	11047
17	194	10596
18	196	10129
19	198	9709
20	200	9329
21	202	8987
22	203	8657
23	205	8353
24	206	8071
25	208	7814
26	210	7575
27	211	7340
28	212	7121
29	213	6914
30	215	6722
31	216	6542
32	217	6377
33	218	6219
34	219	6062
35	220	5913
36	221	5773
37	222	5641
38	223	5515
39	224	5396
40	225	5282
41	226	5171
42	227	5065
43	228	4965
44	229	4868
45	230	4775
46	231	4687
47	232	4603
48	233	4525
49	234	4446
50	234	4369
51	235	4293
52	236	4221
53	237	4152
54	237	4085
55	238	4021
56	239	3959
57	240	3899
58	240	3841
59	241	3784
60	242	3729
61	242	3674
62	243	3622
63	244	3572
64	245	3524
65	245	3476
66	246	3430
67	247	3388
68	248	3347
69	248	3305
70	249	3264
71	250	3223
72	250	3183
73	251	3144
74	251	3106
75	252	3069
76	253	3033
77	253	2998
78	254	2964
79	254	2930
80	255	2898
81	256	2866
82	256	2832
83	256	2802
84	257	2772
85	258	2744
86	258	2715
87	259	2688
88	259	2661
89	260	2634
90	261	2610
91	262	2586
92	262	2562
93	263	2539
94	264	2515
95	264	2491
96	265	2468
97	265	2446
98	266	2423
99	266	2402
100	267	2381
101	268	2360
102	268	2339
103	269	2319
104	269	2299
105	270	2280
106	271	2261
107	271	2243
108	272	2224
109	272	2207
110	273	2189
111	274	2172
112	274	2155
113	275	2138
114	275	2122
115	276	2106
116	276	2090
117	277	2076
118	278	2061
119	278	2045
120	279	2031
121	280	2015
122	280	2001
123	281	1986
124	281	1972
125	282	1959
126	282	1944
127	283	1931
128	284	1918
129	284	1905
130	285	1892
131	285	1879
132	286	1867
133	287	1855
134	287	1843
135	288	1831
136	288	1820
137	289	1809
138	290	1798
139	291	1787
140	291	1778
141	292	1767
142	293	1757
143	294	1748
144	294	1737
145	295	1727
146	295	1716
147	296	1706
148	297	1696
149	297	1686
150	298	1677
151	298	1667
152	299	1657
153	300	1648
154	300	1638
155	301	1629
156	301	1620
157	302	1611
158	303	1603
159	303	1594
160	304	1584
161	304	1576
162	305	1567
163	305	1559
164	306	1551
165	307	1543
166	307	1535
167	308	1527
168	309	1519
169	309	1512
170	310	1504
171	310	1496
172	311	1489
173	312	1481
174	312	1473
175	313	1466
176	313	1459
177	314	1452
178	315	1445
179	315	1437
180	316	1430
181	316	1424
182	317	1417
183	318	1410
184	318	1403
185	319	1397
186	319	1390
187	320	1384
188	321	1378
189	321	1372
190	322	1366
191	323	1360
192	323	1354
193	324	1347
194	325	1341
195	325	1335
196	326	1329
197	326	1323
198	327	1317
199	327	1311
200	328	1306
201	329	1300
202	329	1294
203	330	1288
204	330	1283
205	331	1277
206	332	1272
207	332	1266
208	333	1261
209	333	1255
210	334	1250
211	335	1245
212	335	1240
213	336	1235
214	337	1231
215	337	1225
216	338	1220
217	338	1215
218	339	1210
219	340	1205
220	340	1200
221	341	1195
222	341	1190
223	342	1185
224	342	1181
225	343	1176
226	344	1171
227	344	1167
228	345	1162
229	345	1157
230	346	1153
231	347	1148
232	347	1144
233	348	1139
234	348	1135
235	349	1131
236	349	1126
237	350	1122
238	351	1118
239	352	1115
240	352	1111
241	353	1106
242	353	1102
243	354	1098
244	355	1094
245	355	1090
246	356	1086
247	356	1082
248	357	1077
249	357	1073
250	358	1069
251	359	1066
252	359	1062
253	360	1058
254	360	1054
255	361	1050
256	362	1046
257	362	1042
258	363	1039
259	363	1035
260	364	1031
261	365	1028
262	365	1024
263	366	1021
264	367	1018
265	367	1014
266	368	1010
267	368	1007
268	369	1003
269	370	1000
270	370	996
271	371	993
272	371	989
273	372	986
274	372	983
275	373	979
276	374	976
277	374	973
278	375	969
279	375	966
280	376	963
281	377	959
282	377	956
283	378	953
284	378	950
285	379	947
286	379	944
287	380	940
288	381	938
289	382	935
290	382	932
291	383	929
292	383	926
293	384	922
294	384	919
295	385	916
296	386	913
297	386	911
298	387	908
299	387	905
300	388	902
301	389	899
302	389	896
303	390	893
304	390	890
305	391	887
306	392	884
307	392	882
308	393	879
309	393	876
310	394	873
311	394	870
312	395	868
313	396	865
314	396	863
315	397	860
316	398	858
317	398	855
318	399	853
319	400	850
320	400	847
321	401	845
322	401	842
323	402	839
324	403	837
325	403	834
326	404	832
327	404	829
328	405	827
329	406	824
330	406	822
331	407	819
332	407	817
333	408	814
334	409	812
335	409	809
336	410	807
337	410	804
338	411	802
339	412	800
340	412	797
341	413	795
342	414	793
343	414	790
344	415	788
345	415	786
346	416	783
347	417	781
348	417	778
349	418	776
350	418	774
351	419	771
352	419	769
353	420	767
354	421	765
355	421	763
356	422	760
357	423	758
358	423	756
359	424	754
360	424	751
361	425	749
362	426	747
363	426	745
364	427	743
365	428	741
366	428	739
367	429	737
368	429	735
369	430	733
370	431	730
371	431	728
372	432	726
373	432	724
374	433	722
375	434	720
376	434	718
377	435	716
378	435	714
379	436	712
380	437	710
381	437	707
382	438	705
383	438	703
384	439	702
385	440	700
386	440	698
387	441	696
388	442	694
389	442	692
390	443	690
391	443	688
392	444	686
393	445	684
394	445	682
395	446	680
396	446	678
397	447	676
398	448	675
399	448	673
400	449	671
401	450	669
402	450	667
403	451	665
404	451	663
405	452	661
406	453	660
407	453	658
408	454	656
409	454	654
410	455	652
411	456	651
412	456	649
413	457	647
414	457	645
415	458	643
416	459	641
417	459	640
418	460	638
419	460	636
420	461	634
421	462	632
422	462	631
423	463	629
424	463	627
425	464	625
426	464	623
427	465	622
428	466	620
429	466	618
430	467	616
431	467	615
432	468	613
433	469	611
434	469	610
435	470	608
436	471	607
437	471	605
438	472	603
439	472	601
440	473	600
441	474	598
442	474	596
443	475	595
444	475	593
445	476	591
446	476	590
447	477	588
448	478	586
449	478	585
450	479	583
451	479	581
452	480	580
453	481	578
454	481	576
455	482	575
456	482	573
457	483	572
458	484	570
459	484	569
460	485	567
461	486	566
462	486	564
463	487	563
464	488	561
465	488	560
466	489	558
467	489	556
468	490	555
469	491	553
470	491	552
471	492	550
472	492	549
473	493	547
474	493	545
475	494	544
476	495	542
477	495	541
478	496	539
479	496	538
480	497	536
481	498	535
482	498	533
483	499	532
484	500	531
485	500	529
486	501	528
487	502	526
488	502	525
489	503	523
490	503	522
491	504	520
492	504	519
493	505	517
494	506	516
495	506	514
496	507	513
497	507	511
498	508	510
499	509	509
500	509	507
501	510	506
502	510	504
503	511	503
504	512	502
505	512	500
506	513	499
507	514	498
508	515	496
509	515	495
510	516	494
511	517	493
512	518	492
513	518	490
514	519	489
515	520	487
516	520	486
517	521	485
518	521	483
519	522	482
520	523	481
521	523	479
522	524	478
523	525	477
524	525	475
525	526	474
526	526	472
527	527	471
528	528	470
529	528	468
530	529	467
531	530	466
532	530	464
533	531	463
534	531	462
535	532	461
536	533	459
537	533	458
538	534	457
539	535	455
540	535	454
541	536	453
542	537	451
543	537	450
544	538	449
545	538	448
546	539	446
547	540	445
548	540	444
549	541	443
550	542	441
551	542	440
552	543	439
553	543	437
554	544	436
555	545	435
556	546	434
557	546	433
558	547	431
559	547	430
560	548	429
561	549	427
562	549	426
563	550	425
564	550	424
565	551	422
566	552	421
567	552	420
568	553	419
569	553	417
570	554	416
571	555	415
572	555	414
573	556	412
574	556	411
575	557	410
576	558	409
577	558	407
578	559	406
579	560	405
580	560	404
581	561	403
582	562	402
583	562	400
584	563	399
585	563	398
586	564	397
587	565	395
588	565	394
589	566	393
590	566	392
591	567	391
592	567	389
593	568	388
594	569	387
595	569	386
596	570	385
597	570	383
598	571	382
599	572	381
600	572	380
601	573	379
602	573	377
603	574	376
604	575	375
605	576	374
606	576	373
607	577	372
608	577	371
609	578	369
610	579	368
611	579	367
612	580	366
613	580	365
614	581	363
615	582	362
616	582	361
617	583	360
618	583	359
619	584	358
620	584	356
621	585	355
622	586	354
623	586	353
624	587	352
625	588	351
626	588	350
627	589	349
628	590	348
629	590	347
630	591	345
631	592	344
632	592	343
633	593	342
634	594	341
635	594	340
636	595	339
637	596	338
638	596	337
639	597	335
640	597	334
641	598	333
642	598	332
643	599	331
644	600	330
645	600	329
646	601	328
647	602	327
648	602	325
649	603	324
650	603	323
651	604	322
652	605	321
653	606	320
654	606	319
655	607	318
656	607	317
657	608	316
658	609	315
659	609	314
660	610	313
661	610	311
662	611	310
663	612	309
664	612	308
665	613	307
666	613	306
667	614	305
668	615	304
669	615	303
670	616	302
671	617	301
672	617	300
673	618	299
674	618	298
675	619	296
676	620	296
677	621	295
678	621	293
679	622	292
680	623	291
681	623	290
682	624	289
683	624	288
684	625	287
685	626	286
686	626	285
687	627	284
688	627	283
689	628	282
690	629	281
691	629	280
692	630	279
693	630	278
694	631	277
695	632	276
696	632	275
697	633	274
698	634	273
699	634	272
700	635	271
701	636	270
702	636	269
703	637	267
704	637	266
705	638	265
706	639	264
707	639	263
708	640	262
709	641	261
710	641	260
711	642	259
712	642	258
713	643	257
714	644	256
715	644	255
716	645	254
717	646	253
718	646	252
719	647	251
720	648	250
721	648	249
722	649	248
723	650	247
724	651	246
725	651	245
726	652	244
727	652	243
728	653	242
729	654	241
730	654	241
731	655	240
732	656	239
733	656	238
734	657	237
735	658	236
736	658	235
737	659	234
738	660	233
739	660	232
